Data;Ora;ARIMA;UCM;ML
2020-09-01;1;2541159.765004392;2443256.029163111;2381394.846252006
2020-09-01;2;2321182.4971834;2135459.467333271;2019451.1447848156
2020-09-01;3;2227674.954693404;1992405.464076117;1798020.5115413438
2020-09-01;4;2195847.069555847;1950540.5050142976;1663986.4990463995
2020-09-01;5;2203352.9843574264;1975067.4141384305;1650517.6795071336
2020-09-01;6;2287399.5133978324;2082665.5486827944;1849922.9025387648
2020-09-01;7;2503322.125168628;2346349.7773856563;2301660.145732383
2020-09-01;8;2889719.0286012883;2753028.123115769;2905886.565832398
2020-09-01;9;3516344.7145722075;3388153.229398974;3452818.637985919
2020-09-01;10;3741930.137399389;3651933.361335454;3751773.0490616392
2020-09-01;11;3783770.195626139;3768151.239932059;3752647.942652653
2020-09-01;12;3832079.9195252303;3886555.539837088;3561743.547354891
2020-09-01;13;3721963.8609134033;3808159.6425643857;3350541.3846839746
2020-09-01;14;3647004.45605656;3732001.956634106;3245520.2705036686
2020-09-01;15;3742015.37315166;3841171.1062548254;3286931.446417148
2020-09-01;16;3813370.652245466;3919696.88039439;3463877.0209771027
2020-09-01;17;3966677.596069474;4072594.3297157306;3758869.933425945
2020-09-01;18;4149300.135995485;4250081.413986086;4141417.6187498015
2020-09-01;19;4444669.431782779;4538765.504701428;4524039.507490619
2020-09-01;20;4559329.041373757;4691090.158963617;4751534.996297842
2020-09-01;21;4703330.763808033;4823410.419074899;4669323.598923214
2020-09-01;22;4339170.985212124;4395005.176306361;4231447.428117667
2020-09-01;23;3842020.595670618;3905026.176948904;3552549.595762523
2020-09-01;24;3319985.971725139;3394075.288759168;2845400.3614607453
2020-09-02;1;2875329.639850597;2904070.762967236;2287212.992043889
2020-09-02;2;2603571.039315686;2585579.3153814394;1926345.4460200372
2020-09-02;3;2466880.665289639;2423950.243270007;1706039.230643244
2020-09-02;4;2401375.13254374;2357091.946848581;1573176.1468811964
2020-09-02;5;2380900.6632248494;2351800.381425396;1560922.9536241826
